path,size_bytes,sha256,extension,is_pe,signed,digest_match,chain_verified,signer,issuer
BINx64/Checksym.exe,192048,a4a1cd71fdcc7f881853c84c906d1cc63f9cf532c7a3822771d59ee08fa444cd,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/NTttcp.exe,106552,d4cb19cbc3dc0fe76a325f87132ee49fc1392784ab367afda85026bbade6bf26,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/PsGetsid.exe,506424,b6bdfaa03e1e1ac8447a9eb8918a0fc4662ba028422ae854bd22588b962b006e,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/Pstat.exe,25656,d95f649023acf7145740bd1d5088e0607221dc6dcd369c50828440dce9817f12,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/RecorderCommandLine.exe,133160,a5d76d4e1763a1741e20fd15bfd781f5b20fe0929291d167c672c62cada6ad57,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/RecorderDll.dll,123432,1d73920a4f2b60621d0189d469945faa4af243c2a1724b3b29d715579b2a790e,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/SdkDll.dll,219168,434913ddf2cb888a37e9455f20117718a0a7e3c0f40fef194a605232d306ad56,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/cscdbdump.exe,249912,60c526aa251a37ca392c3895a5506e060f1154451a3f4841f31a2eb918252b78,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/ctsTraffic.exe,554536,1e79be1fec7b4f7d18f6efb34cd5107db378d6aa0270d958076371fb42dff5b2,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/dfsutil.exe,208952,274f6ecfee64f003b03d3c13a088f6ce46b8f9c2798c31c4483a97baf05d0324,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
